id,count
0,117.0
1,148.0
2,114.0
4,49.0
5,64.0
10,115.0
11,5.0
12,300.0
15,15.0
17,134.0
18,278.0
23,248.0
25,113.0
26,36.0
31,214.0
39,161.0
40,29.0
41,214.0
42,398.0
43,133.0
51,300.0
52,106.0
54,20.0
60,138.0
61,155.0
62,119.0
63,30.0
65,118.0
66,129.0
68,181.0
71,30.0
80,30.0
82,137.0
94,92.0
98,278.0
101,49.0
102,156.0
107,5.0
112,304.0
113,6.0
115,137.0
116,127.0
120,56.0
121,59.0
122,324.0
132,244.0
143,12.0
147,137.0
150,28.0
151,80.0
152,300.0
153,86.0
155,222.0
156,93.0
159,246.0
161,51.0
163,20.0
177,284.0
186,2.0
188,17.0
190,117.0
191,19.0
192,316.0
195,331.0
200,137.0
209,324.0
210,9.0
211,173.0
214,5.0
215,20.0
218,95.0
219,50.0
222,236.0
225,20.0
228,317.0
236,246.0
241,37.0
242,127.0
243,215.0
245,11.0
247,252.0
251,161.0
252,103.0
253,80.0
254,79.0
258,317.0
260,137.0
261,189.0
265,137.0
266,252.0
267,293.0
269,133.0
270,137.0
275,92.0
278,52.0
279,78.0
286,103.0
287,30.0
288,315.0
289,140.0
293,19.0
294,127.0
297,137.0
302,137.0
303,6.0
304,92.0
307,109.0
309,15.0
311,179.0
312,137.0
314,188.0
315,317.0
319,153.0
322,119.0
323,137.0
325,108.0
327,252.0
330,50.0
332,284.0
333,19.0
338,95.0
341,124.0
345,213.0
348,339.0
349,50.0
350,129.0
352,137.0
355,14.0
356,123.0
358,137.0
363,138.0
369,123.0
371,28.0
372,161.0
375,278.0
380,121.0
388,45.0
391,161.0
392,293.0
393,431.0
394,222.0
396,34.0
401,49.0
407,137.0
409,80.0
410,129.0
416,42.0
418,115.0
420,167.0
421,227.0
422,161.0
424,317.0
428,398.0
429,126.0
431,5.0
435,3.0
439,129.0
441,3.0
447,78.0
449,229.0
451,130.0
452,17.0
454,296.0
458,126.0
463,141.0
467,9.0
470,316.0
471,133.0
474,324.0
478,17.0
483,135.0
484,108.0
485,69.0
486,104.0
491,92.0
494,74.0
495,278.0
497,213.0
499,304.0
515,97.0
518,221.0
521,236.0
525,168.0
529,304.0
532,138.0
534,137.0
540,137.0
544,278.0
547,133.0
549,45.0
563,40.0
564,115.0
567,137.0
572,113.0
577,229.0
578,317.0
585,398.0
588,130.0
589,113.0
590,119.0
592,17.0
594,316.0
596,20.0
598,398.0
599,121.0
605,49.0
606,138.0
607,278.0
608,191.0
609,137.0
610,278.0
611,267.0
614,130.0
615,315.0
616,213.0
617,97.0
618,278.0
624,135.0
629,184.0
631,107.0
633,117.0
637,32.0
638,92.0
643,137.0
644,140.0
645,40.0
646,182.0
648,250.0
650,49.0
651,267.0
652,278.0
656,137.0
657,20.0
659,24.0
660,109.0
662,92.0
665,425.0
675,317.0
681,131.0
682,127.0
685,19.0
686,246.0
689,32.0
696,92.0
703,140.0
704,89.0
705,5.0
714,315.0
717,117.0
718,17.0
720,103.0
721,164.0
723,315.0
726,222.0
728,229.0
730,267.0
731,34.0
734,369.0
737,30.0
738,19.0
745,127.0
746,29.0
749,228.0
752,32.0
753,222.0
758,315.0
765,14.0
766,176.0
768,86.0
769,248.0
774,120.0
775,121.0
781,137.0
784,324.0
794,16.0
795,278.0
796,69.0
802,213.0
803,267.0
805,40.0
806,278.0
