id,value
1,27000000.0
2,68000000.0
4,68000000.0
5,72000000.0
6,51000000.0
10,68000000.0
11,68000000.0
15,73500000.0
17,69500000.0
23,69500000.0
25,73500000.0
28,69500000.0
31,73500000.0
35,46000000.0
39,27000000.0
40,27000000.0
43,59500000.0
48,43500000.0
51,38000000.0
55,55000000.0
56,55000000.0
57,59500000.0
61,52000000.0
62,62500000.0
69,34000000.0
70,34000000.0
71,34000000.0
74,46500000.0
80,45000000.0
82,45000000.0
84,37500000.0
85,45000000.0
88,32000000.0
90,39000000.0
91,39000000.0
95,38500000.0
101,37500000.0
104,22000000.0
111,29500000.0
113,26000000.0
116,40000000.0
120,38000000.0
122,32500000.0
130,21000000.0
136,30500000.0
138,26500000.0
141,24500000.0
144,24000000.0
146,19000000.0
147,19000000.0
150,25000000.0
151,30500000.0
152,16500000.0
158,22500000.0
159,28000000.0
160,35500000.0
162,34000000.0
168,32000000.0
172,26500000.0
177,36500000.0
181,31500000.0
183,34500000.0
184,33000000.0
186,30000000.0
187,31500000.0
192,31500000.0
193,26500000.0
194,20000000.0
200,19000000.0
201,13000000.0
204,20000000.0
206,26500000.0
208,26500000.0
219,26500000.0
221,3000000.0
227,30500000.0
231,8000000.0
233,30500000.0
235,31500000.0
237,29000000.0
238,25500000.0
239,25500000.0
255,21000000.0
258,26000000.0
260,26500000.0
272,23500000.0
273,18000000.0
275,26000000.0
279,19500000.0
281,22500000.0
284,23000000.0
286,21000000.0
292,18500000.0
300,12500000.0
301,12500000.0
303,15000000.0
304,16000000.0
315,8000000.0
318,3000000.0
320,18000000.0
322,21500000.0
323,24000000.0
326,25500000.0
328,24000000.0
337,21500000.0
339,19000000.0
342,20000000.0
343,25500000.0
360,18000000.0
364,22000000.0
365,18000000.0
367,18500000.0
368,17000000.0
369,14000000.0
372,17000000.0
376,23000000.0
379,18000000.0
380,24500000.0
383,16500000.0
385,10000000.0
386,14000000.0
390,15500000.0
391,15500000.0
393,15500000.0
400,13000000.0
403,6000000.0
413,21000000.0
416,22500000.0
423,16000000.0
424,14500000.0
