id,count
0,95.34
1,249.77
2,93.43
4,30.22
5,50.23
10,127.21
11,154.56
12,341.08
15,39.07
17,118.76
18,303.16
23,252.88
25,105.16
26,39.19
31,214.24
39,157.91
40,24.55
41,187.1
42,379.56
43,170.28
51,231.55
52,82.86
54,14.96
60,141.43
61,144.74
62,115.61
63,28.35
65,119.57
66,112.32
68,146.59
71,72.16
80,26.95
82,68.84
94,132.01
98,270.52
101,31.14
102,135.47
107,163.9
112,239.85
113,74.79
115,62.95
116,121.33
120,161.42
121,87.41
122,334.79
132,198.29
143,88.52
147,68.89
150,18.01
151,84.84
152,249.39
153,87.67
155,161.6
156,116.74
159,190.98
161,140.39
163,42.1
177,179.08
186,14.54
188,17.8
190,102.21
191,85.56
192,271.51
195,315.81
200,144.2
209,317.56
210,15.38
211,219.93
214,108.17
215,25.62
218,97.74
219,33.78
222,131.1
225,14.55
228,317.36
236,222.46
241,38.06
242,180.36
243,249.47
245,18.34
247,247.58
251,126.41
252,93.59
253,83.93
254,87.15
258,331.42
260,58.46
261,167.93
265,115.86
266,282.2
267,307.85
269,151.21
270,67.83
275,103.1
278,37.16
279,82.87
286,106.38
287,28.06
288,226.49
289,149.87
293,18.33
294,134.87
297,42.27
302,120.43
303,60.99
304,62.83
307,101.88
309,17.47
311,178.18
312,137.51
314,192.51
315,248.76
319,161.59
322,125.06
323,68.31
325,132.05
327,240.86
330,36.16
332,219.59
333,18.45
338,103.07
341,107.77
345,205.29
348,105.81
349,43.58
350,115.83
352,57.82
355,16.77
356,231.2
358,64.16
363,134.88
369,155.01
371,19.19
372,145.7
375,302.18
380,133.61
388,43.46
391,145.77
392,272.42
393,374.09
394,190.93
396,27.66
401,36.79
407,107.52
409,86.83
410,117.86
416,94.05
418,123.71
420,157.33
421,204.61
422,140.59
424,290.66
428,360.36
429,227.87
431,143.76
435,12.65
439,114.81
441,14.41
447,94.79
449,143.98
451,138.69
452,16.99
454,211.33
458,226.86
463,124.7
467,15.89
470,253.22
471,146.87
474,290.91
478,17.02
483,119.13
484,128.61
485,88.99
486,126.32
491,98.76
494,100.85
495,249.57
497,212.9
499,178.26
515,116.33
518,228.58
521,177.51
525,165.32
529,251.3
532,143.2
534,107.85
540,114.28
544,290.84
547,161.2
549,43.87
563,36.5
564,141.78
567,122.08
572,113.05
577,125.7
578,264.93
585,356.75
588,145.09
589,124.53
590,106.5
592,17.02
594,236.74
596,15.08
598,353.55
599,141.11
605,35.45
606,129.88
607,267.64
608,224.89
609,65.82
610,286.49
611,179.85
614,137.06
615,221.02
616,252.07
617,126.51
618,247.58
624,114.42
629,140.46
631,92.34
633,94.14
637,25.21
638,103.29
643,65.5
644,143.35
645,36.69
646,209.95
648,204.81
650,38.67
651,204.28
652,273.26
656,95.22
657,17.32
659,78.41
660,210.67
662,101.41
665,376.23
675,314.05
681,160.01
682,221.86
685,18.42
686,206.77
689,25.88
696,145.24
703,146.8
704,98.1
705,107.78
714,228.46
717,108.3
718,15.18
720,90.4
721,271.44
723,235.67
726,187.5
728,148.49
730,202.08
731,26.76
734,345.07
737,73.85
738,18.19
745,168.16
746,26.72
749,235.13
752,26.16
753,155.56
758,239.3
765,16.95
766,232.62
768,86.93
769,190.84
774,133.88
775,106.22
781,58.79
784,330.84
794,16.76
795,273.41
796,83.78
802,167.23
803,215.98
805,34.43
806,291.66
807,101.49
809,15.99
810,176.26
812,178.24
814,112.5
818,246.88
819,140.84
825,80.74
836,99.73
839,122.88
847,259.83
848,152.86
851,122.55
852,131.87
853,29.7
857,139.29
858,41.74
859,240.53
861,25.86
867,98.54
870,223.34
871,208.03
872,219.18
874,360.57
881,220.32
886,128.29
890,63.67
895,163.45
899,88.21
900,274.89
901,257.4
902,242.72
903,42.6
913,257.15
918,202.76
923,101.03
924,36.89
926,28.82
927,18.49
930,227.25
934,32.59
937,109.4
939,109.25
941,90.69
942,378.13
946,287.68
950,98.22
953,80.54
959,97.1
961,29.68
962,94.13
964,103.44
969,187.29
971,148.15
976,41.98
978,242.88
980,247.6
981,146.32
990,370.01
993,18.17
996,19.35
998,324.85
999,185.97
1006,121.46
1008,15.25
1013,27.67
1015,96.17
1016,118.22
1022,317.28
1026,224.41
1028,262.52
1031,66.36
1034,55.85
1037,197.06
1040,63.72
1042,18.14
1046,17.09
1048,99.03
1049,108.04
1050,65.13
1051,217.02
1052,235.06
1055,179.92
1060,157.71
1064,28.18
1066,76.95
1071,99.96
1073,14.84
1089,202.06
1091,100.4
1092,75.42
1093,231.93
1096,321.9
1097,223.97
1098,18.56
1099,39.99
1102,181.04
